index,generated_size,real_size
-1,0,1000
0,175,825
1,345,655
2,520,480
3,687,313
4,687,313
5,692,308
6,675,325
7,678,322
8,675,325
9,675,325
10,680,320
11,685,315
12,683,317
13,679,321
14,691,309
15,674,326
16,679,321
17,676,324
18,676,324
19,688,312
20,681,319
21,686,314
22,682,318
23,687,313
24,689,311
25,691,309
26,695,305
27,691,309
28,696,304
29,696,304
30,692,308
31,696,304
32,696,304
33,687,313
34,691,309
35,680,320
36,680,320
37,679,321
38,679,321
39,685,315
40,673,327
41,683,317
42,674,326
43,679,321
44,683,317
45,667,333
46,676,324
47,660,340
48,668,332
49,684,316
50,684,316
51,697,303
52,697,303
53,697,303
54,697,303
55,692,308
56,682,318
57,682,318
58,682,318
59,688,312
60,695,305
61,680,320
62,680,320
63,682,318
64,685,315
65,695,305
66,695,305
67,692,308
68,692,308
69,684,316
70,684,316
71,670,330
72,670,330
73,680,320
74,680,320
75,690,310
76,690,310
77,679,321
78,679,321
79,675,325
80,675,325
81,689,311
82,689,311
83,693,307
84,690,310
85,690,310
86,675,325
87,682,318
88,677,323
89,674,326
90,689,311
91,689,311
92,678,322
93,681,319
94,681,319
95,656,344
96,675,325
97,657,343
98,657,343
99,671,329
100,671,329
101,675,325
102,669,331
103,680,320
104,680,320
105,688,312
106,689,311
107,687,313
108,683,317
109,689,311
110,694,306
111,692,308
112,696,304
113,696,304
114,680,320
115,683,317
116,683,317
117,683,317
118,699,301
119,675,325
120,675,325
121,675,325
122,675,325
123,690,310
124,690,310
125,679,321
126,679,321
127,681,319
128,681,319
129,677,323
130,677,323
131,685,315
132,685,315
133,700,300
134,700,300
135,689,311
136,677,323
137,677,323
138,668,332
139,679,321
140,684,316
141,684,316
142,689,311
143,680,320
144,685,315
145,674,326
146,678,322
147,687,313
148,678,322
149,689,311
150,686,314
151,686,314
152,697,303
153,681,319
154,669,331
155,669,331
156,651,349
157,667,333
158,675,325
159,653,347
160,671,329
161,671,329
162,654,346
163,676,324
164,676,324
165,668,332
166,692,308
167,682,318
168,677,323
169,685,315
170,678,322
171,688,312
172,693,307
173,693,307
174,693,307
175,693,307
176,682,318
177,672,328
178,679,321
179,679,321
180,678,322
181,688,312
182,687,313
183,666,334
184,678,322
185,664,336
186,665,335
187,685,315
188,685,315
189,689,311
