index,gen_sample_size,after_antimic_size,after_toxin_size,after_cdhit_size
0,1500,932,408,278
1,944,616,258,170
2,971,606,267,193
3,880,518,235,167
4,922,593,259,181
5,891,605,267,184
6,847,551,216,158
7,938,614,249,170
8,965,617,246,172
9,981,680,275,191
10,898,596,234,163
11,964,651,267,194
12,869,588,251,170
13,894,621,243,171
14,914,641,281,196
15,816,547,209,158
16,903,614,242,178
17,887,602,241,168
18,923,655,277,206
19,784,567,228,170
20,807,571,238,168
21,840,618,242,173
22,849,610,247,171
23,868,643,244,179
24,848,596,245,170
25,872,633,253,175
26,872,628,270,188
27,811,591,238,171
28,829,587,240,175
29,828,610,246,181
30,800,567,229,171
31,818,606,245,178
32,804,614,253,175
33,803,592,229,166
34,846,621,255,180
35,822,602,233,164
36,877,633,264,193
37,795,605,224,165
38,843,631,276,192
39,768,577,252,170
40,790,579,219,163
41,848,642,287,210
42,706,519,224,166
43,744,564,251,181
44,719,563,231,167
45,753,541,212,159
46,828,611,276,207
47,700,527,209,159
48,770,565,245,183
49,736,556,240,182
50,707,543,240,184
51,672,532,238,172
52,683,518,225,176
53,679,522,236,179
54,663,513,238,177
55,655,495,220,167
56,686,505,214,165
57,727,567,238,181
58,702,539,247,193
59,636,481,218,173
60,643,485,218,172
61,654,493,201,160
62,715,546,233,179
63,699,522,227,178
64,687,514,226,180
65,667,513,223,170
66,686,518,249,187
67,641,490,221,172
68,652,500,235,193
69,591,447,205,162
70,638,493,235,186
71,600,456,208,158
72,664,493,242,188
73,618,459,211,172
74,628,492,241,188
75,584,440,201,168
76,608,456,220,178
77,597,432,206,161
78,648,491,243,196
79,578,423,207,164
80,616,476,226,176
81,612,461,214,180
82,595,449,227,177
83,588,451,218,168
84,612,477,211,172
85,622,494,257,191
86,569,439,195,160
87,622,482,241,188
88,578,436,208,167
89,605,480,238,172
90,615,496,233,181
91,594,469,240,198
92,525,413,199,156
93,588,442,217,177
94,581,446,243,199
95,510,391,183,150
96,595,484,258,199
97,523,420,201,157
98,582,445,217,182
99,559,436,206,164
100,596,457,246,203
101,513,402,200,161
102,557,425,209,169
103,576,455,238,197
104,511,397,206,177
105,505,395,216,169
106,522,420,200,170
107,537,424,209,173
108,543,435,205,171
109,555,452,232,183
110,530,427,232,182
111,509,402,205,171
112,520,417,215,178
113,511,407,226,188
114,475,372,196,159
115,522,416,217,174
116,525,427,225,180
117,510,405,206,179
118,498,403,228,193
119,451,352,177,150
120,526,433,220,176
121,523,416,208,179
122,511,423,223,186
123,480,393,195,165
124,509,420,225,194
125,459,367,202,164
126,489,398,231,183
127,467,386,199,167
128,489,397,221,188
129,455,353,193,160
130,497,395,219,179
131,485,395,212,180
132,471,388,208,175
133,471,398,214,182
134,452,371,196,176
135,449,361,199,164
136,479,389,201,163
137,514,420,223,191
138,470,396,203,166
139,495,403,223,194
140,446,381,204,168
141,464,397,211,183
142,443,368,201,171
143,453,371,194,166
144,477,410,205,173
145,482,400,208,164
146,514,436,229,192
147,468,402,225,191
148,428,365,185,164
149,456,386,210,185
150,431,362,211,172
151,438,376,207,175
152,437,376,227,200
153,382,321,180,159
154,420,363,182,160
155,459,392,226,197
156,407,338,184,157
157,453,385,227,197
158,402,324,190,168
159,418,365,193,153
160,478,385,226,193
161,433,365,210,180
162,420,335,173,151
163,486,406,222,185
164,459,384,221,191
165,420,343,206,167
166,440,368,215,182
167,423,343,197,165
168,448,385,206,170
169,461,391,209,181
170,445,378,203,168
171,463,377,209,183
172,442,379,211,184
173,420,351,210,179
174,410,339,193,168
175,427,357,218,183
176,408,337,195,164
177,435,354,198,165
178,461,367,226,184
179,438,356,206,183
180,418,341,187,163
181,448,372,228,200
182,392,326,198,174
183,394,312,174,154
184,447,367,211,179
185,437,352,192,161
186,474,394,230,203
187,408,335,197,174
188,410,335,204,179
189,400,326,195,165
190,424,348,205,176
191,421,353,216,181
192,407,332,189,165
193,431,346,195,168
194,448,380,228,191
195,410,336,196,161
196,445,376,223,192
197,405,346,203,166
198,426,351,204,186
199,400,336,194,166
200,421,348,208,177
201,416,338,206,166
202,438,367,232,198
203,387,320,193,172
204,393,335,189,162
205,424,361,215,192
206,386,328,179,154
207,438,355,204,178
208,430,362,225,199
209,378,322,199,172
210,384,334,184,169
211,397,346,201,177
212,392,328,195,167
213,410,350,207,181
214,396,345,214,189
215,366,304,167,144
216,444,372,226,197
217,394,333,213,182
218,378,320,176,152
219,435,368,206,182
220,418,357,202,171
221,427,359,217,186
222,401,340,206,180
223,389,326,188,162
224,420,355,220,196
225,374,310,173,149
226,439,371,238,204
227,376,328,192,162
228,406,344,210,183
229,388,339,192,164
230,414,363,231,202
231,358,305,198,167
232,375,323,210,177
233,370,316,182,157
234,412,361,207,183
235,393,337,201,175
236,393,338,209,178
237,386,332,195,169
238,399,336,206,178
239,392,341,208,175
240,392,342,210,181
241,379,320,200,161
242,411,366,215,189
243,380,319,189,167
244,398,352,180,154
245,452,398,255,218
246,362,302,199,164
247,386,327,188,169
248,399,340,205,177
249,394,343,221,195
250,353,306,174,152
251,406,341,217,191
252,371,312,189,163
253,398,333,201,184
254,378,325,203,181
255,365,316,205,172
256,371,322,199,165
257,393,343,203,175
258,393,338,210,185
259,371,322,207,176
260,368,317,220,183
261,351,313,199,172
262,357,308,212,189
263,330,284,171,149
264,387,338,211,184
265,368,316,205,174
266,370,325,208,181
267,357,315,214,185
268,337,294,192,171
269,344,299,187,162
270,371,314,199,169
271,384,319,227,197
272,341,302,187,159
273,375,323,215,189
274,347,304,195,165
275,368,301,183,161
276,400,365,220,188
277,372,328,220,192
278,339,299,178,153
279,387,332,207,178
280,380,316,210,186
281,357,304,185,162
282,385,325,215,185
283,364,311,210,185
284,344,305,197,165
285,364,315,206,179
286,355,299,197,169
287,367,322,222,191
288,336,287,178,154
289,381,335,211,187
290,356,302,193,176
291,353,299,188,167
292,369,330,213,183
293,352,300,193,174
294,354,305,198,174
295,356,296,195,175
296,356,298,197,179
297,348,293,183,163
298,373,321,220,192
299,339,298,188,156
300,380,332,229,200
301,332,289,179,154
302,377,325,205,185
303,356,293,188,164
304,379,319,222,200
305,331,290,197,173
306,334,299,193,172
307,339,288,194,172
308,344,287,197,177
309,340,291,189,162
310,367,328,221,187
311,343,298,186,164
312,366,323,226,201
313,318,277,176,156
314,356,311,203,178
315,350,299,199,169
316,362,311,212,196
317,323,282,199,173
318,326,287,191,170
319,335,285,205,177
320,331,297,198,172
321,336,296,211,187
322,314,278,180,161
323,341,300,194,178
324,335,280,204,175
325,335,287,192,175
326,335,292,191,172
327,340,295,189,169
328,352,308,191,171
329,360,327,231,208
330,302,264,176,156
331,338,299,209,179
332,330,293,203,183
333,315,273,179,166
334,332,290,197,170
335,341,294,179,166
336,359,310,207,179
337,350,316,211,189
338,324,280,196,165
339,343,305,205,179
340,335,287,187,162
341,361,316,206,178
342,354,299,204,181
343,342,302,204,178
344,336,298,190,171
345,343,303,196,173
346,346,301,213,187
347,323,277,174,154
348,367,316,222,181
349,354,321,202,182
350,340,297,203,182
351,326,280,202,180
352,316,259,177,159
353,347,292,198,173
354,351,310,217,190
355,323,278,205,173
356,326,286,191,175
357,326,289,198,181
358,315,271,163,145
359,380,338,223,199
360,334,280,200,179
361,326,290,183,157
362,363,323,200,183
363,347,315,215,189
364,321,271,185,169
365,332,294,220,193
366,301,259,174,154
367,342,298,204,182
368,328,283,201,181
369,317,268,182,169
370,328,282,205,184
371,311,276,186,172
372,316,280,209,181
373,305,259,182,163
374,327,295,200,173
375,330,296,198,177
376,326,293,205,179
377,318,292,202,172
378,323,288,211,183
379,308,259,193,176
380,306,280,197,179
381,299,263,186,162
382,322,285,191,162
383,347,313,222,200
384,303,274,196,169
385,313,277,197,174
386,314,275,190,175
387,313,279,188,172
388,318,271,201,179
389,310,278,198,181
390,299,271,204,179
391,292,259,175,156
392,327,286,198,176
393,325,284,199,175
394,325,289,189,167
395,340,293,212,186
396,319,279,202,185
397,301,272,195,179
398,294,265,169,146
399,352,311,216,191
400,322,300,215,186
401,302,271,187,164
402,322,299,213,184
403,306,266,188,170
404,315,273,197,172
