index,train_acc
0,0.599
1,0.59
2,0.586
3,0.595
4,0.603
5,0.596
6,0.597
7,0.5805
8,0.585
9,0.5945
10,0.586
11,0.583
12,0.5795
13,0.5875
14,0.5665
15,0.5745
16,0.562
17,0.576
18,0.5725
19,0.574
20,0.566
21,0.5745
22,0.5815
23,0.5705
24,0.575
25,0.566
26,0.5605
27,0.563
28,0.5525
29,0.547
30,0.561
31,0.547
32,0.551
33,0.5625
34,0.5595
35,0.5355
36,0.5385
37,0.5505
38,0.5285
39,0.5435
40,0.536
41,0.541
42,0.551
43,0.5595
44,0.548
45,0.543
46,0.5495
47,0.5385
48,0.5635
49,0.537
50,0.546
51,0.5425
52,0.543
53,0.541
54,0.538
55,0.5435
56,0.5395
57,0.548
58,0.549
59,0.534
60,0.548
61,0.555
62,0.5615
63,0.5465
64,0.5635
65,0.5505
66,0.555
67,0.5445
68,0.538
69,0.5595
70,0.556
71,0.5665
72,0.5495
73,0.5545
74,0.556
75,0.544
76,0.5355
77,0.548
78,0.5405
79,0.539
80,0.536
81,0.557
82,0.5405
83,0.5515
84,0.5325
85,0.5305
86,0.5335
87,0.541
88,0.544
89,0.5375
90,0.5415
91,0.557
92,0.5535
93,0.5385
94,0.5425
95,0.527
96,0.53
97,0.531
98,0.524
99,0.5365
100,0.5195
101,0.53
102,0.5345
103,0.5395
104,0.528
105,0.528
106,0.5235
107,0.523
108,0.533
109,0.5245
110,0.5305
111,0.533
112,0.5075
113,0.5415
114,0.5185
115,0.518
116,0.5175
117,0.5175
118,0.5345
119,0.5235
120,0.5135
121,0.5165
122,0.525
123,0.529
124,0.5405
125,0.5415
126,0.541
127,0.533
128,0.529
129,0.524
130,0.539
131,0.5235
132,0.549
133,0.537
134,0.524
135,0.526
136,0.5255
137,0.5295
138,0.5325
139,0.5405
140,0.5345
141,0.5395
142,0.546
143,0.5465
144,0.5505
145,0.5285
146,0.5535
147,0.532
148,0.556
149,0.5475
150,0.546
151,0.547
152,0.5275
153,0.5345
154,0.543
155,0.56
156,0.543
157,0.5535
158,0.5385
159,0.557
160,0.537
161,0.545
162,0.555
163,0.5555
164,0.548
165,0.5465
166,0.5525
167,0.5545
168,0.561
169,0.5615
170,0.55
171,0.5595
172,0.534
173,0.537
174,0.533
175,0.53
176,0.5315
177,0.544
178,0.5505
179,0.5295
180,0.5325
181,0.5575
182,0.5325
183,0.5355
184,0.546
185,0.5215
186,0.539
187,0.5475
188,0.5325
189,0.5475
190,0.534
191,0.5435
192,0.533
193,0.5465
194,0.546
195,0.552
196,0.536
197,0.5355
198,0.552
199,0.536
200,0.5325
201,0.5375
202,0.552
203,0.537
204,0.5285
205,0.552
206,0.571
207,0.5425
208,0.5675
209,0.568
210,0.545
211,0.5595
212,0.5395
213,0.568
214,0.549
215,0.542
216,0.5525
217,0.535
218,0.544
219,0.5485
220,0.5385
221,0.54
222,0.539
223,0.535
224,0.5275
225,0.5555
226,0.5305
227,0.567
228,0.5485
229,0.559
230,0.5595
231,0.5435
232,0.544
233,0.555
234,0.55
235,0.5565
236,0.5645
237,0.5545
238,0.5425
239,0.548
240,0.559
241,0.5495
242,0.5565
243,0.5515
244,0.5615
245,0.55
246,0.568
247,0.5785
248,0.5595
249,0.5585
250,0.5605
251,0.566
252,0.577
253,0.577
254,0.566
255,0.5545
256,0.5565
257,0.558
258,0.5715
259,0.545
260,0.555
261,0.5665
262,0.5675
263,0.5665
264,0.554
265,0.5545
266,0.5645
267,0.5655
268,0.5785
269,0.5705
270,0.5565
271,0.5515
272,0.56
273,0.5635
274,0.5585
275,0.5475
276,0.564
277,0.5475
278,0.5555
279,0.5445
280,0.5685
281,0.5485
282,0.567
283,0.5545
284,0.5505
285,0.5655
286,0.5365
287,0.555
288,0.541
289,0.56
290,0.5555
291,0.5645
292,0.5655
293,0.5485
294,0.5525
295,0.561
296,0.5445
297,0.556
298,0.5565
299,0.5625
300,0.561
301,0.558
302,0.569
303,0.5615
304,0.5605
305,0.534
306,0.5625
307,0.5415
308,0.5525
309,0.5635
310,0.5655
311,0.553
312,0.5485
313,0.554
314,0.561
315,0.568
316,0.5695
317,0.5475
318,0.5535
319,0.5755
320,0.555
321,0.5555
322,0.5535
323,0.564
324,0.561
325,0.5505
326,0.5665
327,0.568
328,0.5445
329,0.563
330,0.558
331,0.566
332,0.5735
333,0.576
334,0.5485
335,0.5465
336,0.5565
337,0.5485
338,0.5585
339,0.5685
340,0.5425
341,0.575
342,0.555
343,0.573
344,0.5655
345,0.558
346,0.565
347,0.561
348,0.553
349,0.5715
350,0.562
351,0.5605
352,0.552
353,0.563
354,0.5665
355,0.5545
356,0.568
357,0.595
358,0.5595
359,0.566
360,0.569
361,0.559
362,0.591
363,0.585
364,0.5895
365,0.592
366,0.577
367,0.582
368,0.5995
369,0.577
370,0.587
371,0.586
372,0.588
373,0.6005
374,0.608
375,0.5685
376,0.5855
377,0.5795
378,0.574
379,0.5745
380,0.5495
381,0.5575
382,0.546
383,0.5715
384,0.541
385,0.562
386,0.58
387,0.551
388,0.562
389,0.5545
390,0.5585
391,0.578
392,0.5675
393,0.568
394,0.5865
395,0.556
396,0.574
397,0.558
398,0.565
399,0.5855
400,0.5675
401,0.555
402,0.5485
403,0.5765
404,0.57
405,0.5585
406,0.5685
407,0.561
408,0.568
409,0.5635
410,0.544
411,0.568
412,0.568
413,0.551
414,0.572
415,0.571
416,0.5745
417,0.5715
418,0.5535
419,0.5805
420,0.564
421,0.5505
422,0.5575
423,0.5765
424,0.5545
425,0.559
426,0.5665
427,0.58
428,0.5705
429,0.5695
430,0.578
431,0.5745
432,0.564
433,0.584
434,0.58
435,0.5515
436,0.5615
437,0.5705
438,0.5795
439,0.586
440,0.563
441,0.5685
442,0.5655
443,0.563
444,0.5635
445,0.5555
446,0.5755
447,0.5665
448,0.586
449,0.5675
450,0.567
451,0.5625
452,0.566
453,0.56
454,0.5745
455,0.5585
456,0.563
457,0.5565
458,0.557
459,0.565
460,0.588
461,0.5735
462,0.579
463,0.596
464,0.588
465,0.576
466,0.5795
467,0.574
468,0.5685
469,0.585
470,0.583
471,0.5745
472,0.5935
473,0.585
474,0.591
475,0.5805
476,0.592
477,0.5785
478,0.592
479,0.584
480,0.5915
481,0.6105
482,0.5885
483,0.5755
484,0.572
485,0.5945
486,0.5835
487,0.6025
488,0.597
489,0.5855
490,0.5875
491,0.579
492,0.5915
493,0.588
494,0.575
495,0.586
496,0.582
497,0.5625
498,0.5755
499,0.581
500,0.585
501,0.5725
502,0.5965
503,0.572
504,0.5665
505,0.57
506,0.5735
507,0.564
508,0.554
509,0.5735
510,0.566
511,0.5545
512,0.5785
513,0.575
514,0.5705
515,0.5635
516,0.5795
517,0.588
518,0.589
519,0.582
520,0.563
521,0.569
522,0.5555
523,0.559
524,0.571
525,0.5985
526,0.58
527,0.5945
528,0.5775
529,0.585
530,0.583
531,0.576
532,0.578
533,0.5735
534,0.578
535,0.5715
536,0.5715
537,0.584
538,0.577
539,0.574
540,0.5805
541,0.565
542,0.5565
543,0.561
544,0.569
545,0.553
546,0.547
547,0.57
548,0.561
549,0.5575
550,0.5785
551,0.5835
552,0.5785
553,0.566
554,0.563
555,0.5875
556,0.588
557,0.5795
558,0.584
559,0.5905
560,0.5645
561,0.558
562,0.5765
563,0.5675
564,0.5705
565,0.5765
566,0.567
567,0.587
568,0.5755
569,0.5795
570,0.5935
571,0.5545
572,0.572
573,0.569
574,0.573
575,0.575
576,0.5615
577,0.5795
578,0.569
579,0.591
580,0.5815
581,0.5685
582,0.5795
583,0.5585
584,0.582
585,0.5585
586,0.5745
587,0.563
588,0.5745
589,0.5625
590,0.57
591,0.5815
592,0.5695
593,0.577
594,0.587
595,0.5705
596,0.5685
597,0.5745
598,0.579
599,0.5645
600,0.572
601,0.562
602,0.566
603,0.583
604,0.5795
605,0.583
606,0.5895
607,0.592
608,0.5715
609,0.589
610,0.5625
611,0.566
612,0.5845
613,0.5605
614,0.563
615,0.5715
616,0.5885
617,0.5945
618,0.5685
619,0.5905
620,0.5835
621,0.5725
622,0.586
623,0.588
624,0.576
625,0.5835
626,0.586
627,0.571
628,0.585
629,0.5955
630,0.5515
631,0.591
632,0.563
633,0.586
634,0.5845
635,0.558
636,0.5805
637,0.5775
638,0.5725
639,0.565
640,0.5595
641,0.556
642,0.5575
643,0.5645
644,0.5595
645,0.579
646,0.5655
647,0.58
648,0.5805
649,0.575
650,0.5665
651,0.573
652,0.5715
653,0.5695
